date,time,home_team,home_score,away_team,away_score,margin
2025-06-08,17:00,삼성,1.0,NC,0.0,1.0
2025-06-08,17:00,KT,3.0,SSG,2.0,1.0
2025-06-08,17:00,KIA,7.0,한화,6.0,1.0
2025-06-10,18:30,LG,6.0,SSG,2.0,4.0
2025-06-10,18:30,KT,12.0,롯데,3.0,9.0
2025-06-10,18:30,KIA,8.0,삼성,0.0,8.0
2025-06-10,18:30,키움,,NC,,
2025-06-10,18:30,한화,6.0,두산,2.0,4.0
2025-06-11,18:30,LG,6.0,SSG,4.0,2.0
2025-06-11,18:30,KT,4.0,롯데,3.0,1.0
2025-06-11,18:30,KIA,6.0,삼성,3.0,3.0
2025-06-11,18:30,키움,7.0,NC,1.0,6.0
2025-06-11,18:30,한화,9.0,두산,1.0,8.0
2025-06-12,18:30,LG,8.0,SSG,6.0,2.0
2025-06-12,18:30,KT,12.0,롯데,7.0,5.0
2025-06-12,18:30,KIA,2.0,삼성,1.0,1.0
2025-06-12,18:30,키움,8.0,NC,6.0,2.0
2025-06-12,18:30,한화,3.0,두산,2.0,1.0
2025-06-13,18:30,두산,,키움,,
2025-06-13,18:30,SSG,,롯데,,
2025-06-13,18:30,삼성,,KT,,
2025-06-13,18:30,NC,4.0,KIA,1.0,3.0
2025-06-13,18:30,한화,,LG,,
2025-06-14,17:00,두산,,키움,,
2025-06-14,17:00,SSG,,롯데,,
2025-06-14,17:00,삼성,,KT,,
2025-06-14,17:00,NC,,KIA,,
2025-06-14,17:00,한화,,LG,,
2025-06-15,17:00,두산,,키움,,
2025-06-15,17:00,SSG,,롯데,,
2025-06-15,17:00,삼성,,KT,,
2025-06-15,17:00,NC,,KIA,,
2025-06-15,17:00,한화,,LG,,
2025-06-17,18:30,LG,,NC,,
2025-06-17,18:30,롯데,,한화,,
2025-06-17,18:30,삼성,,두산,,
2025-06-17,18:30,KIA,,KT,,
2025-06-17,18:30,키움,,SSG,,
2025-06-18,18:30,LG,,NC,,
2025-06-18,18:30,롯데,,한화,,
2025-06-18,18:30,삼성,,두산,,
2025-06-18,18:30,KIA,,KT,,
2025-06-18,18:30,키움,,SSG,,
2025-06-19,18:30,LG,,NC,,
2025-06-19,18:30,롯데,,한화,,
2025-06-19,18:30,삼성,,두산,,
2025-06-19,18:30,KIA,,KT,,
2025-06-19,18:30,키움,,SSG,,
2025-06-20,18:30,LG,,두산,,
2025-06-20,18:30,SSG,,KIA,,
2025-06-20,18:30,롯데,,삼성,,
2025-06-20,18:30,KT,,NC,,
2025-06-20,18:30,한화,,키움,,
2025-06-21,17:00,LG,,두산,,
2025-06-21,17:00,SSG,,KIA,,
2025-06-21,17:00,롯데,,삼성,,
2025-06-21,17:00,KT,,NC,,
2025-06-21,17:00,한화,,키움,,
2025-06-22,17:00,LG,,두산,,
2025-06-22,17:00,SSG,,KIA,,
2025-06-22,17:00,롯데,,삼성,,
2025-06-22,17:00,KT,,NC,,
2025-06-22,17:00,한화,,키움,,
2025-06-24,18:30,두산,,SSG,,
2025-06-24,18:30,삼성,,한화,,
2025-06-24,18:30,NC,,롯데,,
2025-06-24,18:30,KT,,LG,,
2025-06-24,18:30,키움,,KIA,,
2025-06-25,18:30,두산,,SSG,,
2025-06-25,18:30,삼성,,한화,,
2025-06-25,18:30,NC,,롯데,,
2025-06-25,18:30,KT,,LG,,
2025-06-25,18:30,키움,,KIA,,
2025-06-26,18:30,두산,,SSG,,
2025-06-26,18:30,삼성,,한화,,
2025-06-26,18:30,NC,,롯데,,
2025-06-26,18:30,KT,,LG,,
2025-06-26,18:30,키움,,KIA,,
2025-06-27,18:30,LG,,KIA,,
2025-06-27,18:30,SSG,,한화,,
2025-06-27,18:30,롯데,,KT,,
2025-06-27,18:30,NC,,두산,,
2025-06-27,18:30,키움,,삼성,,
2025-06-28,17:00,LG,,KIA,,
2025-06-28,17:00,SSG,,한화,,
2025-06-28,17:00,롯데,,KT,,
2025-06-28,17:00,NC,,두산,,
2025-06-28,17:00,키움,,삼성,,
2025-06-29,14:00,키움,,삼성,,
2025-06-29,17:00,LG,,KIA,,
2025-06-29,17:00,SSG,,한화,,
2025-06-29,17:00,롯데,,KT,,
2025-06-29,17:00,NC,,두산,,
2025-07-01,18:30,두산,,삼성,,
2025-07-01,18:30,롯데,,LG,,
2025-07-01,18:30,KT,,키움,,
2025-07-01,18:30,KIA,,SSG,,
2025-07-01,18:30,한화,,NC,,
2025-07-02,18:30,두산,,삼성,,
2025-07-02,18:30,롯데,,LG,,
2025-07-02,18:30,KT,,키움,,
2025-07-02,18:30,KIA,,SSG,,
2025-07-02,18:30,한화,,NC,,
2025-07-03,18:30,두산,,삼성,,
2025-07-03,18:30,롯데,,LG,,
2025-07-03,18:30,KT,,키움,,
2025-07-03,18:30,KIA,,SSG,,
2025-07-03,18:30,한화,,NC,,
2025-07-04,18:30,두산,,KT,,
2025-07-04,18:30,삼성,,LG,,
2025-07-04,18:30,NC,,SSG,,
2025-07-04,18:30,KIA,,롯데,,
2025-07-04,18:30,키움,,한화,,
2025-07-05,18:00,두산,,KT,,
2025-07-05,18:00,삼성,,LG,,
2025-07-05,18:00,NC,,SSG,,
2025-07-05,18:00,KIA,,롯데,,
2025-07-05,18:00,키움,,한화,,
2025-07-06,14:00,키움,,한화,,
2025-07-06,18:00,두산,,KT,,
2025-07-06,18:00,삼성,,LG,,
2025-07-06,18:00,NC,,SSG,,
2025-07-06,18:00,KIA,,롯데,,
2025-07-08,18:30,LG,,키움,,
2025-07-08,18:30,SSG,,KT,,
2025-07-08,18:30,롯데,,두산,,
2025-07-08,18:30,NC,,삼성,,
2025-07-08,18:30,한화,,KIA,,
2025-07-09,18:30,LG,,키움,,
2025-07-09,18:30,SSG,,KT,,
2025-07-09,18:30,롯데,,두산,,
2025-07-09,18:30,NC,,삼성,,
2025-07-09,18:30,한화,,KIA,,
2025-07-10,18:30,LG,,키움,,
2025-07-10,18:30,SSG,,KT,,
2025-07-10,18:30,롯데,,두산,,
2025-07-10,18:30,NC,,삼성,,
2025-07-10,18:30,한화,,KIA,,
2025-07-17,18:30,LG,,롯데,,
2025-07-17,18:30,SSG,,두산,,
2025-07-17,18:30,삼성,,키움,,
2025-07-17,18:30,KT,,한화,,
2025-07-17,18:30,KIA,,NC,,
2025-07-18,18:30,LG,,롯데,,
2025-07-18,18:30,SSG,,두산,,
2025-07-18,18:30,삼성,,키움,,
2025-07-18,18:30,KT,,한화,,
2025-07-18,18:30,KIA,,NC,,
2025-07-19,18:00,LG,,롯데,,
2025-07-19,18:00,SSG,,두산,,
2025-07-19,18:00,삼성,,키움,,
2025-07-19,18:00,KT,,한화,,
2025-07-19,18:00,KIA,,NC,,
2025-07-20,18:00,LG,,롯데,,
2025-07-20,18:00,SSG,,두산,,
2025-07-20,18:00,삼성,,키움,,
2025-07-20,18:00,KT,,한화,,
2025-07-20,18:00,KIA,,NC,,
2025-07-22,18:30,두산,,한화,,
2025-07-22,18:30,삼성,,SSG,,
2025-07-22,18:30,NC,,KT,,
2025-07-22,18:30,KIA,,LG,,
2025-07-22,18:30,키움,,롯데,,
2025-07-23,18:30,두산,,한화,,
2025-07-23,18:30,삼성,,SSG,,
2025-07-23,18:30,NC,,KT,,
2025-07-23,18:30,KIA,,LG,,
2025-07-23,18:30,키움,,롯데,,
2025-07-24,18:30,두산,,한화,,
2025-07-24,18:30,삼성,,SSG,,
2025-07-24,18:30,NC,,KT,,
2025-07-24,18:30,KIA,,LG,,
2025-07-24,18:30,키움,,롯데,,
2025-07-25,18:30,두산,,LG,,
2025-07-25,18:30,롯데,,KIA,,
2025-07-25,18:30,NC,,키움,,
2025-07-25,18:30,KT,,삼성,,
2025-07-25,18:30,한화,,SSG,,
